"";"Platform";"Year";"Genre";"Rating";"PublisherR";"Critic_Score";"Critic_Count";"Global_Sales"
"138";"Wii";"2012";"Action";"E10+";"Activision";78;8;2,52
"139";"PS4";"2015";"Action";"M";"Other";92;100;2,48
"140";"PS3";"2012";"Sports";"E";"Take-Two";90;26;2,47
"141";"PS3";"2011";"Action";"M";"Other";82;50;2,47
"142";"PS4";"2014";"Sports";"E";"Take-Two";83;50;2,45
"143";"Wii";"2010";"Action";"E10+";"Other";79;13;2,43
"144";"XOne";"2015";"Sports";"E";"Electronic Arts";84;23;2,42
"145";"Wii";"2010";"Misc";"E";"Other";71;9;2,42
"146";"PS3";"2010";"Sports";"E";"Other";77;40;2,41
"147";"X360";"2011";"Shooter";"M";"Other";82;73;2,4
"148";"PS3";"2010";"Sports";"E";"Electronic Arts";83;36;2,38
"149";"X360";"2011";"Action";"M";"Other";71;75;2,37
"150";"X360";"2010";"Sports";"E";"Other";42;10;2,37
"151";"X360";"2011";"Misc";"E10+";"Other";73;33;2,35
"152";"3DS";"2015";"Action";"E10+";"Other";89;82;2,34
"153";"XOne";"2015";"Sports";"E10+";"Take-Two";86;14;2,34
"154";"X360";"2011";"Sports";"E";"Other";66;46;2,34
"155";"PC";"2012";"Action";"T";"Other";90;69;2,31
"156";"3DS";"2012";"Role-Playing";"E";"Other";75;69;2,3
"157";"PS3";"2013";"Action";"T";"Other";76;46;2,29
"158";"X360";"2010";"Simulation";"T";"Electronic Arts";76;42;2,28
"159";"PS3";"2011";"Action";"M";"Other";71;41;2,27
"160";"PS3";"2011";"Sports";"E";"Electronic Arts";79;31;2,25
"161";"PS3";"2013";"Action";"M";"Other";80;89;2,25
"162";"X360";"2013";"Sports";"E";"Electronic Arts";80;32;2,23
"163";"PS3";"2012";"Shooter";"M";"Take-Two";91;25;2,23
"164";"X360";"2013";"Action";"E10+";"Other";80;37;2,22
"165";"PS4";"2015";"Shooter";"M";"Ubisoft";73;40;2,21
"166";"XOne";"2013";"Racing";"E";"Other";79;76;2,2
"167";"X360";"2010";"Racing";"E10+";"Electronic Arts";88;73;2,2
"168";"X360";"2010";"Shooter";"M";"Take-Two";88;93;2,2
"169";"PS4";"2014";"Sports";"E";"Electronic Arts";81;37;2,19
"170";"PS3";"2011";"Action";"E";"Other";80;41;2,19
"171";"XOne";"2014";"Sports";"E";"Electronic Arts";82;33;2,18
"172";"X360";"2010";"Role-Playing";"T";"Other";82;54;2,16
"173";"PS3";"2012";"Action";"M";"Other";83;30;2,14
"174";"PS3";"2011";"Sports";"E";"Take-Two";90;38;2,11
"175";"PS3";"2013";"Sports";"E";"Take-Two";84;26;2,11
"176";"PS4";"2015";"Shooter";"M";"Electronic Arts";73;46;2,1
"177";"X360";"2011";"Fighting";"M";"Other";86;66;2,1
"178";"X360";"2010";"Action";"E";"Take-Two";89;50;2,09
"179";"PS4";"2015";"Action";"M";"Other";74;58;2,09
"180";"PC";"2010";"Role-Playing";"T";"Activision";90;53;2,08
"181";"X360";"2011";"Shooter";"E10+";"Other";95;66;2,08
"182";"Wii";"2010";"Sports";"E";"Other";64;54;2,08
"183";"PS4";"2014";"Racing";"E";"Other";71;85;2,07
"184";"X360";"2011";"Misc";"T";"Other";86;56;2,04
"185";"PS3";"2011";"Role-Playing";"M";"Namco";89;54;2,02
"186";"X360";"2011";"Misc";"E10+";"Ubisoft";70;34;2,02
"187";"XOne";"2013";"Shooter";"M";"Electronic Arts";81;5;2,02
"188";"3DS";"2012";"Role-Playing";"T";"Other";92;72;2,01
"189";"PS3";"2011";"Action";"T";"Electronic Arts";64;48;2,01
"190";"PS4";"2014";"Role-Playing";"M";"Electronic Arts";89;43;2,01
"191";"PS3";"2010";"Sports";"T";"Electronic Arts";80;46;1,98
"192";"PS4";"2013";"Racing";"E10+";"Electronic Arts";80;53;1,98
"193";"X360";"2012";"Racing";"T";"Other";85;83;1,96
"194";"X360";"2012";"Shooter";"M";"Other";67;71;1,95
"195";"PS3";"2010";"Simulation";"T";"Electronic Arts";78;39;1,94
"196";"X360";"2013";"Shooter";"M";"Take-Two";93;33;1,93
"197";"PS4";"2015";"Shooter";"T";"Activision";86;81;1,93
"198";"3DS";"2013";"Misc";"E";"Other";57;47;1,92
"199";"PS3";"2013";"Role-Playing";"M";"Activision";86;43;1,91
"200";"PS4";"2014";"Platform";"E";"Other";79;78;1,91
"201";"X360";"2013";"Action";"T";"Other";74;46;1,88
"202";"PS3";"2013";"Sports";"E";"Electronic Arts";76;19;1,87
"203";"PS4";"2015";"Action";"M";"Other";73;42;1,86
"204";"PS3";"2012";"Shooter";"M";"Take-Two";87;31;1,85
"205";"PS3";"2013";"Action";"E10+";"Other";82;22;1,84
"206";"3DS";"2014";"Platform";"E";"Other";80;68;1,83
"207";"PS3";"2011";"Action";"T";"Other";83;90;1,82
"208";"PC";"2012";"Role-Playing";"T";"Activision";82;42;1,82
"209";"PS3";"2010";"Action";"E";"Take-Two";89;46;1,8
"210";"XOne";"2015";"Racing";"E";"Other";87;85;1,8
"211";"PS4";"2014";"Action";"M";"Other";75;65;1,79
"212";"Wii";"2011";"Action";"E10+";"Other";76;7;1,76
"213";"PS3";"2010";"Action";"M";"Other";83;66;1,75
"214";"X360";"2012";"Action";"T";"Other";55;61;1,74
"215";"PS3";"2012";"Role-Playing";"M";"Other";78;38;1,74
"216";"PS4";"2015";"Shooter";"M";"Other";63;94;1,74
"217";"PS4";"2013";"Platform";"E10+";"Other";54;83;1,73
"218";"X360";"2012";"Action";"M";"Other";79;51;1,73
"219";"PS4";"2014";"Racing";"T";"Ubisoft";61;60;1,72
"220";"XOne";"2014";"Sports";"E";"Take-Two";82;9;1,72
"221";"PC";"2011";"Shooter";"M";"Activision";78;26;1,72
"222";"X360";"2012";"Action";"M";"Other";88;56;1,71
"223";"PS3";"2011";"Shooter";"E10+";"Other";95;54;1,7
"224";"PC";"2010";"Simulation";"T";"Electronic Arts";74;17;1,7
"225";"PS3";"2013";"Shooter";"M";"Take-Two";94;27;1,69
"226";"Wii";"2010";"Platform";"E";"Other";78;58;1,68
"227";"PC";"2010";"Strategy";"E10+";"Take-Two";90;70;1,68
"228";"PC";"2013";"Strategy";"T";"Activision";86;68;1,67
"229";"PS4";"2015";"Adventure";"M";"Other";79;103;1,66
"230";"X360";"2013";"Action";"M";"Other";81;42;1,66
"231";"X360";"2012";"Action";"E10+";"Other";79;59;1,66
"232";"Wii";"2011";"Platform";"E10+";"Other";77;49;1,65
"233";"XOne";"2014";"Shooter";"M";"Ubisoft";82;15;1,63
"234";"PS3";"2013";"Adventure";"M";"Other";70;98;1,63
"235";"X360";"2012";"Shooter";"M";"Take-Two";86;80;1,62
"236";"X360";"2010";"Simulation";"E";"Other";74;50;1,62
"237";"PS4";"2013";"Action";"E10+";"Other";83;22;1,62
"238";"X360";"2011";"Shooter";"M";"Other";81;77;1,6
"239";"X360";"2010";"Action";"M";"Other";81;74;1,6
"240";"3DS";"2012";"Action";"E10+";"Other";75;54;1,58
"241";"PS3";"2011";"Platform";"E";"Other";76;38;1,58
"242";"XOne";"2013";"Action";"M";"Other";78;69;1,57
"243";"X360";"2013";"Shooter";"M";"Other";79;81;1,57
"244";"XOne";"2014";"Action";"M";"Ubisoft";78;15;1,57
"245";"XOne";"2014";"Sports";"E";"Electronic Arts";80;19;1,57
"246";"X360";"2012";"Racing";"T";"Electronic Arts";83;54;1,56
"247";"Wii";"2011";"Action";"E10+";"Other";73;14;1,55
"248";"X360";"2010";"Action";"E10+";"Other";79;58;1,55
"249";"PS4";"2014";"Shooter";"M";"Other";79;73;1,55
"250";"X360";"2010";"Action";"M";"Take-Two";74;79;1,55
"251";"PS3";"2010";"Shooter";"M";"Take-Two";88;62;1,54
"252";"PSV";"2011";"Shooter";"T";"Other";80;80;1,53
"253";"Wii";"2011";"Misc";"E10+";"Namco";64;28;1,53
"254";"PS3";"2012";"Sports";"E";"Other";82;37;1,53
"255";"PS3";"2012";"Action";"M";"Other";89;35;1,53
"256";"PC";"2012";"Shooter";"M";"Activision";74;11;1,53
"257";"X360";"2011";"Shooter";"M";"Electronic Arts";90;83;1,51
"258";"PC";"2011";"Sports";"E";"Other";84;45;1,51
"259";"PS3";"2011";"Role-Playing";"E10+";"Namco";85;89;1,51
"260";"PS3";"2010";"Action";"T";"Other";63;41;1,5
"261";"X360";"2010";"Action";"M";"Other";79;76;1,49
"262";"PS3";"2010";"Action";"M";"Take-Two";75;61;1,49
"263";"XOne";"2015";"Action";"M";"Other";85;16;1,49
"264";"PS3";"2011";"Shooter";"M";"Other";83;91;1,48
"265";"X360";"2011";"Action";"E10+";"Other";75;43;1,48
"266";"PSV";"2012";"Action";"M";"Activision";33;58;1,47
"267";"X360";"2012";"Shooter";"M";"Ubisoft";79;75;1,47
"268";"X360";"2011";"Shooter";"M";"Other";70;85;1,45
"269";"PS3";"2011";"Role-Playing";"M";"Electronic Arts";94;62;1,45
"270";"PS4";"2013";"Sports";"E";"Take-Two";85;20;1,45
"271";"X360";"2013";"Action";"E10+";"Other";74;38;1,44
"272";"X360";"2010";"Action";"T";"Other";61;59;1,43
"273";"X360";"2010";"Racing";"E";"Other";52;46;1,43
"274";"PC";"2011";"Strategy";"T";"Ubisoft";83;33;1,43
"275";"PS3";"2012";"Role-Playing";"M";"Electronic Arts";93;30;1,42
"276";"PC";"2013";"Simulation";"E10+";"Electronic Arts";64;75;1,42
"277";"PS3";"2011";"Shooter";"M";"Electronic Arts";89;78;1,42
"278";"PS3";"2013";"Action";"M";"Other";80;61;1,42
"279";"PS3";"2010";"Fighting";"T";"Other";85;54;1,41
"280";"PS3";"2012";"Action";"M";"Electronic Arts";55;22;1,41
"281";"X360";"2013";"Role-Playing";"M";"Activision";87;42;1,41
"282";"XOne";"2014";"Racing";"E10+";"Other";86;85;1,4
"283";"X360";"2013";"Fighting";"T";"Other";81;63;1,38
"284";"3DS";"2014";"Platform";"E";"Other";64;71;1,38
"285";"XOne";"2013";"Action";"M";"Other";60;77;1,38
"286";"XOne";"2015";"Fighting";"M";"Other";86;21;1,38
"287";"XOne";"2015";"Adventure";"M";"Other";86;102;1,38
"288";"X360";"2011";"Platform";"E";"Other";77;49;1,38
"289";"X360";"2011";"Shooter";"M";"Other";89;70;1,37
"290";"Wii";"2010";"Shooter";"M";"Activision";80;25;1,37
"291";"PS3";"2011";"Shooter";"M";"Other";89;50;1,37
"292";"PS3";"2010";"Action";"M";"Other";80;54;1,36
"293";"X360";"2011";"Action";"T";"Electronic Arts";68;65;1,36
"294";"X360";"2014";"Shooter";"M";"Electronic Arts";83;21;1,36
"295";"PS3";"2012";"Action";"T";"Other";76;24;1,35
"296";"XOne";"2014";"Action";"M";"Other";87;12;1,35
"297";"PC";"2013";"Shooter";"M";"Electronic Arts";81;52;1,35
"298";"Wii";"2010";"Action";"T";"Other";79;71;1,34
"299";"X360";"2011";"Action";"M";"Electronic Arts";84;72;1,34
"300";"PS3";"2011";"Fighting";"T";"Other";84;56;1,34
"301";"XOne";"2015";"Shooter";"M";"Ubisoft";74;24;1,34
"302";"PS3";"2010";"Racing";"E";"Other";84;46;1,34
"303";"X360";"2010";"Action";"T";"Other";83;100;1,33
"304";"X360";"2013";"Platform";"E10+";"Activision";83;37;1,32
"305";"X360";"2010";"Fighting";"T";"Other";84;70;1,32
"306";"PSV";"2012";"Action";"M";"Ubisoft";70;71;1,32
"307";"X360";"2010";"Sports";"E";"Ubisoft";73;32;1,32
"308";"PS3";"2011";"Shooter";"M";"Other";81;37;1,31
"309";"PS3";"2010";"Action";"E10+";"Other";79;42;1,31
"310";"XOne";"2015";"Role-Playing";"M";"Namco";91;13;1,31
"311";"X360";"2012";"Action";"E10+";"Activision";80;35;1,3
"312";"XOne";"2015";"Action";"M";"Ubisoft";78;22;1,3
"313";"PS3";"2011";"Action";"M";"Electronic Arts";85;54;1,29
"314";"XOne";"2015";"Action";"M";"Other";74;26;1,29
"315";"PC";"2015";"Role-Playing";"M";"Other";84;38;1,29
"316";"PS3";"2014";"Action";"M";"Ubisoft";72;53;1,29
"317";"XOne";"2015";"Role-Playing";"M";"Other";77;11;1,28
"318";"X360";"2014";"Action";"E10+";"Other";69;8;1,27
"319";"PS3";"2014";"Role-Playing";"T";"Namco";91;69;1,27
"320";"3DS";"2012";"Action";"E10+";"Other";83;75;1,27
"321";"3DS";"2012";"Role-Playing";"E";"Other";59;46;1,27
"322";"PS4";"2014";"Action";"M";"Other";75;70;1,27
"323";"X360";"2011";"Fighting";"T";"Other";71;52;1,27
"324";"X360";"2012";"Action";"T";"Other";78;46;1,27
"325";"PS3";"2013";"Role-Playing";"T";"Other";85;50;1,27
"326";"PS3";"2013";"Racing";"E10+";"Electronic Arts";80;6;1,27
"327";"Wii";"2010";"Sports";"E";"Electronic Arts";79;8;1,26
"328";"PC";"2010";"Sports";"E";"Other";85;23;1,26
"329";"PS3";"2013";"Action";"M";"Other";76;26;1,25
"330";"PSV";"2012";"Platform";"E";"Other";88;71;1,25
"331";"3DS";"2015";"Role-Playing";"E";"Other";69;44;1,25
"332";"PS3";"2012";"Sports";"E";"Electronic Arts";76;36;1,23
"333";"X360";"2012";"Action";"E10+";"Other";80;49;1,23
"334";"PS3";"2010";"Sports";"E";"Electronic Arts";82;56;1,23
"335";"PS3";"2011";"Role-Playing";"T";"Namco";78;65;1,22
"336";"3DS";"2011";"Fighting";"T";"Other";85;69;1,21
"337";"PS4";"2015";"Sports";"T";"Take-Two";73;47;1,21
"338";"PS3";"2010";"Fighting";"T";"Namco";76;34;1,21
"339";"XOne";"2015";"Shooter";"M";"Electronic Arts";71;27;1,21
"340";"PS3";"2011";"Racing";"E";"Other";82;36;1,2
"341";"PS3";"2012";"Action";"E10+";"Other";81;28;1,19
"342";"XOne";"2015";"Shooter";"T";"Activision";89;11;1,19
"343";"PS3";"2013";"Fighting";"T";"Other";78;37;1,18
"344";"X360";"2012";"Misc";"E10+";"Ubisoft";77;23;1,18
"345";"PS3";"2012";"Action";"T";"Namco";64;33;1,18
"346";"PS3";"2012";"Action";"M";"Other";52;36;1,17
"347";"PS3";"2011";"Fighting";"T";"Other";72;28;1,17
"348";"PC";"2015";"Action";"M";"Take-Two";96;57;1,17
"349";"PC";"2010";"Role-Playing";"M";"Other";84;39;1,17
"350";"PS3";"2011";"Action";"E10+";"Other";76;36;1,16
"351";"X360";"2011";"Sports";"E";"Ubisoft";77;13;1,16
"352";"XOne";"2013";"Sports";"E";"Electronic Arts";88;22;1,16
"353";"X360";"2010";"Shooter";"M";"Other";45;39;1,16
"354";"X360";"2012";"Action";"M";"Electronic Arts";53;43;1,15
"355";"PS4";"2014";"Sports";"T";"Take-Two";62;44;1,15
"356";"PS3";"2013";"Sports";"T";"Take-Two";74;22;1,14
"357";"3DS";"2011";"Action";"E10+";"Other";56;36;1,14
"358";"XOne";"2014";"Shooter";"M";"Other";81;89;1,14
"359";"3DS";"2011";"Action";"E10+";"Other";67;25;1,13
"360";"PS4";"2014";"Shooter";"M";"Other";79;50;1,13
"361";"3DS";"2012";"Role-Playing";"E10+";"Other";73;51;1,13
"362";"3DS";"2015";"Action";"E";"Other";73;73;1,12
"363";"PS3";"2010";"Racing";"E";"Other";82;85;1,12
"364";"PS3";"2011";"Misc";"T";"Ubisoft";80;27;1,12
"365";"X360";"2011";"Misc";"T";"Ubisoft";77;30;1,12
"366";"PSV";"2012";"Role-Playing";"M";"Other";93;61;1,12
"367";"X360";"2010";"Shooter";"M";"Other";70;91;1,12
"368";"X360";"2011";"Action";"M";"Electronic Arts";79;75;1,11
"369";"PS3";"2011";"Fighting";"M";"Electronic Arts";84;52;1,11
"370";"X360";"2013";"Sports";"T";"Take-Two";75;43;1,11
"371";"PS4";"2015";"Fighting";"T";"Namco";69;50;1,11
"372";"PS3";"2010";"Action";"M";"Other";85;62;1,1
"373";"X360";"2013";"Sports";"E";"Electronic Arts";77;18;1,09
"374";"PS4";"2015";"Racing";"E";"Other";83;37;1,09
"375";"X360";"2010";"Racing";"E";"Other";47;52;1,09
"376";"PS3";"2010";"Fighting";"T";"Other";74;42;1,09
"377";"X360";"2012";"Action";"E";"Electronic Arts";76;20;1,09
"378";"PS3";"2010";"Action";"M";"Electronic Arts";75;69;1,08
"379";"X360";"2014";"Shooter";"E10+";"Electronic Arts";69;6;1,08
"380";"Wii";"2010";"Sports";"E";"Electronic Arts";73;17;1,07
"381";"PS3";"2013";"Role-Playing";"T";"Other";66;62;1,07
"382";"X360";"2010";"Shooter";"M";"Other";64;64;1,06
"383";"PS3";"2012";"Action";"E10+";"Activision";77;21;1,06
"384";"X360";"2010";"Action";"M";"Other";83;81;1,06
"385";"PS3";"2011";"Racing";"T";"Other";87;52;1,06
"386";"PS3";"2012";"Action";"E10+";"Other";82;16;1,05
"387";"PS4";"2014";"Sports";"T";"Electronic Arts";70;57;1,05
"388";"PS3";"2012";"Action";"M";"Other";83;40;1,04
"389";"PS3";"2010";"Shooter";"M";"Other";65;57;1,04
"390";"PS3";"2012";"Racing";"E";"Other";81;23;1,03
"391";"X360";"2011";"Shooter";"T";"Other";68;85;1,03
"392";"PS3";"2012";"Action";"T";"Other";86;30;1,03
"393";"X360";"2011";"Action";"E10+";"Other";73;54;1,03
"394";"Wii";"2011";"Action";"E10+";"Other";61;11;1,02
"395";"Wii";"2010";"Misc";"E10+";"Ubisoft";48;6;1,02
"396";"X360";"2011";"Shooter";"M";"Electronic Arts";84;83;1,02
"397";"PS3";"2013";"Platform";"E10+";"Activision";83;31;1,02
"398";"3DS";"2011";"Platform";"E";"Other";66;29;1,02
"399";"X360";"2014";"Action";"M";"Ubisoft";72;32;1,01
"400";"PS4";"2014";"Platform";"E10+";"Ubisoft";90;16;1,01
"401";"PS3";"2011";"Platform";"E10+";"Ubisoft";87;43;1
"402";"X360";"2013";"Misc";"E10+";"Ubisoft";79;16;0,99
"403";"X360";"2011";"Sports";"E";"Electronic Arts";82;25;0,99
"404";"X360";"2012";"Action";"T";"Other";85;60;0,99
"405";"X360";"2011";"Role-Playing";"M";"Namco";89;66;0,99
"406";"PS3";"2010";"Role-Playing";"T";"Namco";77;55;0,98
"407";"X360";"2013";"Action";"M";"Electronic Arts";78;68;0,98
"408";"X360";"2013";"Action";"M";"Ubisoft";82;58;0,98
